work,fraction,attack_f1_mean,attack_f1_std,tpr_mean,tpr_std
KitNET / Mirai,1.0,0.9044086395425216,1.1102230246251565e-16,0.8259933657985744,1.1102230246251565e-16
KitNET / Mirai,0.5,0.9048952399343438,0.0,0.8268049968240524,1.1102230246251565e-16
KitNET / Mirai,0.25,0.02754686793502835,0.0,0.013974168960406522,0.0
KitNET / Mirai,0.1,0.03247406585018909,0.0,0.016514926953207706,0.0
KitNET / Mirai,0.05,0.03247406585018909,0.0,0.016514926953207706,0.0
KitNET / Mirai,0.01,0.03247406585018909,0.0,0.016514926953207706,0.0
Mateen / CICIDS2017,1.0,0.7835229107547338,0.033884562221174405,0.7093923479465648,0.05098395279321058
Mateen / CICIDS2017,0.5,0.7824830859395965,0.013277657084200374,0.7025063290123531,0.020331445235490422
Mateen / CICIDS2017,0.25,0.780083575412463,0.009271353729845007,0.6996925430660369,0.014021176935503902
Mateen / CICIDS2017,0.1,0.5607815581898677,0.14078263285177978,0.4324550951056975,0.16876402552449063
Mateen / CICIDS2017,0.05,0.49389932042819407,0.1520457828380389,0.36851167574059135,0.16728066019423068
Mateen / CICIDS2017,0.01,0.486064135942679,0.0005694105747899687,0.3337439000089602,0.0004903939504660966
Mateen / Kitsune,1.0,0.8433934914239658,0.018412873875630675,0.8793300241119071,0.011603855293738752
Mateen / Kitsune,0.25,0.6965350037258025,0.06970430505916386,0.6184073084322037,0.09854762754502483
Mateen / Kitsune,0.05,0.6438302800477358,0.007303586865055334,0.5372597513949218,0.021567426293294834
Mateen / Kitsune,0.01,0.08479006546912962,0.000426574530254617,0.047964306543292624,0.00022142477868403176
Wang / MANDA-IDS,1.0,0.910293957306426,0.001140014450121536,0.847006255585344,0.0025300067322416324
Wang / MANDA-IDS,0.5,0.9048362189465857,0.010691452515039805,0.8538873994638069,0.003371697851637819
Wang / MANDA-IDS,0.25,0.8903390786709616,0.01059561060685668,0.8270330652368186,0.001074246227003687
Wang / MANDA-IDS,0.1,0.8773085611595105,0.010801097274088999,0.8201966041108132,0.0012006281360629272
Wang / MANDA-IDS,0.05,0.8565451346758302,0.016826430701702717,0.798302055406613,0.025935326063125267
Wang / MANDA-IDS,0.01,0.8488676164863517,0.008163583663292725,0.7758266309204647,0.005223106057623782
Wang / MANDA-CW,1.0,0.9786898367407448,0.0029046475783342644,0.9997105225068751,0.00040938299677901525
Wang / MANDA-CW,0.5,0.978823599389837,0.003240860479677713,0.9996194840283265,0.0003897802896716543
Wang / MANDA-CW,0.25,0.986747786536807,0.0016224127248572,1.0,0.0
Wang / MANDA-CW,0.1,0.9113295252431014,0.06035501401287893,0.8800833333333333,0.10098090670279465
Wang / MANDA-CW,0.05,0.9182348982189739,0.06141290831316703,0.894663671265216,0.10389712843243279
Wang / MANDA-CW,0.01,0.8382159717500004,0.054396460373115754,0.7591205951671068,0.08490790526503104
