work,mode,fraction,n_seeds,attack_f1_mean,attack_f1_std,tpr_mean,tpr_std,fpr_mean,fpr_std
KitNET / Mirai,kitnet,1.0,3,0.9044086395425216,1.1102230246251565e-16,0.8259933657985744,1.1102230246251565e-16,0.0010202856799903972,0.0
KitNET / Mirai,kitnet,0.5,3,0.9048952399343438,0.0,0.8268049968240524,1.1102230246251565e-16,0.0010202856799903972,0.0
KitNET / Mirai,kitnet,0.25,3,0.02754686793502835,0.0,0.013974168960406522,0.0,0.0010202856799903972,0.0
KitNET / Mirai,kitnet,0.1,3,0.03247406585018909,0.0,0.016514926953207706,0.0,0.0010202856799903972,0.0
KitNET / Mirai,kitnet,0.05,3,0.03247406585018909,0.0,0.016514926953207706,0.0,0.0010202856799903972,0.0
KitNET / Mirai,kitnet,0.01,3,0.03247406585018909,0.0,0.016514926953207706,0.0,0.0010202856799903972,0.0
Mateen / CICIDS2017,mateen,1.0,3,0.7835229107547338,0.033884562221174405,0.7093923479465648,0.05098395279321058,0.054404390510434296,0.0013665214008465472
Mateen / CICIDS2017,mateen,0.5,3,0.7824830859395965,0.013277657084200374,0.7025063290123531,0.020331445235490422,0.0509130740035721,0.000549651538422709
Mateen / CICIDS2017,mateen,0.25,3,0.780083575412463,0.009271353729845007,0.6996925430660369,0.014021176935503902,0.05163498484207558,0.0016536152688513374
Mateen / CICIDS2017,mateen,0.1,3,0.5607815581898677,0.14078263285177978,0.4324550951056975,0.16876402552449063,0.03351744630099643,0.014360351498357874
Mateen / CICIDS2017,mateen,0.05,3,0.49389932042819407,0.1520457828380389,0.36851167574059135,0.16728066019423068,0.035029566765369426,0.015234842585188629
Mateen / CICIDS2017,mateen,0.01,3,0.486064135942679,0.0005694105747899687,0.3337439000089602,0.0004903939504660966,0.021696982515510433,0.0016993628487074611
Mateen / CICIDS2017,no_update,1.0,3,0.7469539037759119,0.06764238295429496,0.6665329315931725,0.09463703898854556,0.0600225165679639,0.001616514823274929
Mateen / CICIDS2017,no_update,0.5,3,0.8086526713905361,0.05020685908941061,0.7519983363356858,0.08186422232516166,0.05634796836811431,0.0017161260072664896
Mateen / CICIDS2017,no_update,0.25,3,0.7931317028053643,0.016871237524856697,0.7242168808433869,0.02599612171573793,0.0557072082393307,0.00019673921202406833
Mateen / CICIDS2017,no_update,0.1,3,0.7853970094411995,0.06919363035172536,0.7170954881798255,0.09935379804058513,0.05509582393307013,0.0008550438265353517
Mateen / CICIDS2017,no_update,0.05,3,0.770218425029127,0.03191146691722166,0.6890405444622312,0.048308327198063064,0.05380292054427524,0.002516349947557379
Mateen / CICIDS2017,no_update,0.01,3,0.6863548755741049,0.015154261105917746,0.5674111698208083,0.01913729698799177,0.04699066730118443,0.0007956590455224594
Mateen / Kitsune,mateen,1.0,2,0.8433934914239658,0.018412873875630675,0.8793300241119071,0.011603855293738752,0.04328200374468502,0.012823355866964493
Mateen / Kitsune,mateen,0.25,2,0.6965350037258025,0.06970430505916386,0.6184073084322037,0.09854762754502483,0.030585301668675048,0.001624255426649639
Mateen / Kitsune,mateen,0.05,2,0.6438302800477358,0.007303586865055334,0.5372597513949218,0.021567426293294834,0.027356991868054896,0.0055287330467204965
Mateen / Kitsune,mateen,0.01,2,0.08479006546912962,0.000426574530254617,0.047964306543292624,0.00022142477868403176,0.017398440342546298,0.00014401761713376225
Mateen / Kitsune,no_update,1.0,3,0.313196164890544,0.000766008229856559,0.9543012624657979,0.0046751026657885575,0.8635425700868713,0.0034023936047545755
Mateen / Kitsune,no_update,0.5,3,0.3117243057842651,0.0021342505159511445,0.9466513174502311,0.007538506814216295,0.860897594054626,0.0013145733010272343
Mateen / Kitsune,no_update,0.25,3,0.30607453880734253,0.0007456540279238581,0.9269504966008304,0.0020278383355984506,0.8615498535121043,0.0007400118030499981
Mateen / Kitsune,no_update,0.1,3,0.3035570646849728,0.0006255865761883118,0.9223460943643133,0.004693600123656066,0.8666693450084825,0.006724017317134715
Mateen / Kitsune,no_update,0.05,3,0.2851192881839677,0.013991317846527563,0.8319982561665259,0.05410715126569577,0.8342969689417515,0.009317864589174076
Mateen / Kitsune,no_update,0.01,3,0.27766299432044633,0.0005844722425506145,0.5679213708097944,4.993338282913295e-05,0.5262699558217353,0.0017734702616694728
Wang / MANDA-IDS,ids,1.0,3,0.910293957306426,0.001140014450121536,0.847006255585344,0.0025300067322416324,0.0107095046854083,0.0007706018714393864
Wang / MANDA-IDS,ids,0.5,3,0.9048362189465857,0.010691452515039805,0.8538873994638069,0.003371697851637819,0.025949953660797036,0.018132161524114804
Wang / MANDA-IDS,ids,0.25,3,0.8903390786709616,0.01059561060685668,0.8270330652368186,0.001074246227003687,0.023821782857927437,0.016578035486785957
Wang / MANDA-IDS,ids,0.1,3,0.8773085611595105,0.010801097274088999,0.8201966041108132,0.0012006281360629272,0.03834139978718292,0.018402734035674197
Wang / MANDA-IDS,ids,0.05,3,0.8565451346758302,0.016826430701702717,0.798302055406613,0.025935326063125267,0.05011498987402602,0.0025645413578214197
Wang / MANDA-IDS,ids,0.01,3,0.8488676164863517,0.008163583663292725,0.7758266309204647,0.005223106057623782,0.04022929324134143,0.018800071189939913
Wang / MANDA-FGSM,manda,1.0,3,0.9156617899103905,0.0003071346722503799,0.8845486551491439,0.0005303609521224744,nan,nan
Wang / MANDA-FGSM,manda,0.5,3,0.8564526151472984,0.02233201026635959,0.7865284696133132,0.03568186361855367,nan,nan
Wang / MANDA-FGSM,manda,0.25,3,0.8888378711674694,0.013493119531242433,0.8395823182000378,0.022575450872232828,nan,nan
Wang / MANDA-FGSM,manda,0.1,3,0.8758483633511873,0.04281550518388932,0.819678413532508,0.07103471841484928,nan,nan
Wang / MANDA-FGSM,manda,0.05,3,0.8893754911809846,0.07362113578077929,0.8479801678891693,0.12045694139820967,nan,nan
Wang / MANDA-FGSM,manda,0.01,3,0.8481361816613057,0.04029778616238384,0.7734331408381565,0.06334981297056826,nan,nan
Wang / MANDA-BIM,manda,1.0,3,0.9208158767471036,0.04606397146963165,0.8975484648203556,0.08010067322069518,nan,nan
Wang / MANDA-BIM,manda,0.5,3,0.9063350833997211,0.04447953820563094,0.8716532921354124,0.07668108856688625,nan,nan
Wang / MANDA-BIM,manda,0.25,3,0.9176175436229635,0.037030796523020604,0.8911828464436979,0.06753919065697396,nan,nan
Wang / MANDA-BIM,manda,0.1,3,0.8930046789054128,0.04976790705149605,0.8470567555852208,0.08360966013066025,nan,nan
Wang / MANDA-BIM,manda,0.05,3,0.794286723382409,0.12490653986150535,0.708641793967881,0.194224196176237,nan,nan
Wang / MANDA-BIM,manda,0.01,3,0.834145145973103,0.07243305022994052,0.7581560224115084,0.11001232084286895,nan,nan
Wang / MANDA-CW,manda,1.0,3,0.9786898367407448,0.0029046475783342644,0.9997105225068751,0.00040938299677901525,nan,nan
Wang / MANDA-CW,manda,0.5,3,0.978823599389837,0.003240860479677713,0.9996194840283265,0.0003897802896716543,nan,nan
Wang / MANDA-CW,manda,0.25,3,0.986747786536807,0.0016224127248572,1.0,0.0,nan,nan
Wang / MANDA-CW,manda,0.1,3,0.9113295252431014,0.06035501401287893,0.8800833333333333,0.10098090670279465,nan,nan
Wang / MANDA-CW,manda,0.05,3,0.9182348982189739,0.06141290831316703,0.894663671265216,0.10389712843243279,nan,nan
Wang / MANDA-CW,manda,0.01,3,0.8382159717500004,0.054396460373115754,0.7591205951671068,0.08490790526503104,nan,nan
